,Company name,"Total assets
m USD
2014","Total assets
m USD
2013","Total assets
m USD
2012","Total assets
m USD
2011","Operating
revenue
(Turnover)
m USD
2014","Operating
revenue
(Turnover)
m USD
2013","Operating
revenue
(Turnover)
m USD
2012","Operating
revenue
(Turnover)
m USD
2011","Number of employees
Last avail. yr","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011"
7722.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7723.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7724.,BANK OF AMERICA NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7725.,BANK OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7726.,BANK OF AMERICA NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7727.,BANK OF MONTREAL,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,-1
7728.,BANK OF NEW YORK MELLON CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7729.,BANK OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7730.,DEUTSCHE BANK AG,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7731.,BARCLAYS CAPITAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7732.,BARCLAYS BANK PLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7733.,RCA GLOBCOM EMPLOYEES CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7734.,PENGUIN GROUP USA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7735.,GREATER AMERICAN FINANCE GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7736.,CAPITAL FACTORS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7737.,CARBON/GRAPHITE GROUP FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7738.,REVAL INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7739.,BERKSHIRE BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7740.,REVLON,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7741.,FISCHER FRANCIS TREES & WATTS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7742.,CHASE MANHATTAN BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7743.,CHASE MANHATTAN BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7744.,CHASE MANHATTAN BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7745.,MORNING STAR MORTGAGE BANKERS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7746.,MEYERS RV CENTERS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7747.,CHUO MITSUI INVESTMENTS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7748.,NBT BANK NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7749.,RYAN LABS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7750.,RZB FINANCE LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7751.,NATIONAL BANK OF KUWAIT SAK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7752.,NEOPOST INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7753.,SAATCHI & SAATCHI ADVERTISING WORLDWIDE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7754.,NETNAMES USA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7755.,NEW YORK MORTGAGE CO LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7756.,NEW YORK MORTGAGE CO LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7757.,SELF RELIANCE NEW YORK FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7758.,NEW YORK STATE BANK DEPARTMENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7759.,NIAGARA FRONTIER FEDERAL EMPLOYEE CREDIT,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
7760.,FIRST NIAGARA RISK MANAGEMENT INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7761.,RELIANCE COMMUNICATIONS INTERNATIONAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7762.,RS HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7763.,SOMERSET MORTGAGE BANKERS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7764.,PR CHECK CASHING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7765.,HARRIS INTERACTIVE INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7766.,HART SCHAFFNER & MARX,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7767.,HMX SPORTSWEAR INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7768.,STEIN ROE INVESTMENT COUNSEL LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7769.,STERLING BANCORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7770.,STERLING NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7771.,KANEMATSU USA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7772.,LAVA TRADING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7773.,TEXT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7774.,TEXT 100 CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7775.,PRIME STAR MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7776.,PLATINUM EQUITIES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7777.,PLATINUM EQUITY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7778.,PRIMERICA FINANCIAL SERVICES,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7779.,PRIMERICA FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7780.,PRIMERICA FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7781.,PRIMERICA FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7782.,PROVIDENT BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7783.,PROVIDENT BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7784.,PROVIDENT BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7785.,PROVIDENT BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7786.,PROVIDENT LOAN SOCIETY OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7787.,PROVIDENT LOAN SOCIETY OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7788.,PROVIDENT LOAN SOCIETY OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7789.,MANDARIN ORIENTAL HOTEL GROUP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7790.,METROMEDIA TECHNOLOGIES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7791.,MILLENNIUM BROADWAY HOTEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7792.,NEW YORK STATE BANK DEPARTMENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7793.,TOTES ISOTONER CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7794.,OVERSEAS UNION BANK LTD,-1,-1,-1,-1,-1,-1,-1,-1,7,7,-1,-1,-1
7795.,REED ELSEVIER INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7796.,US TRUST CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7797.,US BANK NATIONAL ASSOCIATION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7798.,UBE AMERICA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7799.,UBS AG,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7800.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7801.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7802.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7803.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7804.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7805.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7806.,UBS GLOBAL ASSET MANAGEMENT INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7807.,UFJ BANK LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7808.,UFJ TRUST CO OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7809.,UBS GLOBAL ASSETT MANAGEMENT AMERICAS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7810.,PALM PICTURES LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7811.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7812.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7813.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7814.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7815.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7816.,ULSTER SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7817.,UNITED ORIENT BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7818.,UNITED REFINING CO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7819.,UNITED REFINING CO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7820.,UNITED REFINING CO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7821.,US 1 LENDING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7822.,PROTRAVEL INTERNATIONAL INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7823.,ST SIMONS EPSCPAL CHURCH CR UN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7824.,WCTA FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1
7825.,SCOTT & STRINGFELLOW INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7826.,TATA AMERICA INTERNATIONAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7827.,TD WATERHOUSE BANK NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7828.,JAMESTOWN SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7829.,US BANCORP PIPER JAFFRAY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7830.,SIEGELGALE HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7831.,WEST MERCHANT BANK LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7832.,UNITE,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
7833.,ABACUS FEDERAL SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7834.,STATE STREET BANK & TRUST CO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7835.,STATE STREET GLOBAL ADVISORS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7836.,ABN-AMRO BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7837.,ABSA BANK LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7838.,NIELSEN CO US LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7839.,CHINOOK EQUITIES LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7840.,AMERICAN APPRAISAL ASSOCIATES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7841.,AMERICAN LAWYER MEDIA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7842.,BABY BOOM CONSUMER PRODUCTS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7843.,BABY BOOM GIFTS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7844.,MITZI INTERNATIONAL HANDBAG & ACC LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7845.,CIT GROUP STRUCTURED FINANCE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7846.,HYPO REAL ESTATE CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7847.,BEAR STEARNS ASSET BACKED INVESTORS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7848.,BEAR STEARNS REAL ESTATE GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7849.,BEAR STEARNS CAPITAL MARKETS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7850.,BEAR STEARNS COMMERCIAL MORTGAGE SECURIT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7851.,BEAR STEARNS & CO INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7852.,SVENSKA HANDELSBANKEN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7853.,PAINEWEBBER LIFE HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7854.,UBS GLOBAL ASSET MANAGEMENT INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7855.,PAINEWEBBER MORTGAGE ACCEPTANCE INC IV,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7856.,TEACHERS FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7857.,AMERICAN EXPRESS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7858.,AMERICAN EXPRESS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7859.,AMSOUTH CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7860.,CITIBANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7861.,CITIBANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7862.,CITIBANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7863.,CITIBANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7864.,CITIBANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7865.,CITIBANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7866.,CITIGROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7867.,CITIGROUP CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7868.,CITIGROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7869.,CITIGROUP GLOBAL MARKETS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7870.,CITIGROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7871.,THOMASVILLE FURNITURE INDUSTRIES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7872.,THOMASVILLE HOME FURNISHINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7873.,CULBRO CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7874.,THOMSON CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7875.,APAX PARTNERS LP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7876.,LOUIS DREYFUS PROPERTY GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7877.,LOUIS DREYFUS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7878.,MASIUS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7879.,DOE FUND INC P,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7880.,TRANSWORLD SYSTEMS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7881.,APPLE BANK FOR SAVINGS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7882.,APPLE BANK FOR SAVINGS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7883.,APPLE BANK FOR SAVINGS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7884.,FLUSHING SAVINGS BANK INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7885.,FLUSHING SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7886.,SAGE PARTS PLUS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7887.,BANCO CENTRAL HISPANO-USA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7888.,BANCO DE CREDITO NACIONAL SA,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
7889.,BANCO INTERNATIONAL SA,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
7890.,BANCO MERCANTIL VENEZUELA,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
7891.,BANCO POPULAR DE PUERTO RICO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7892.,BANCO POPULAR NORTH AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7893.,BANCO POPULAR NORTH AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7894.,WORLD KITCHEN LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7895.,RYAN BECK & CO INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7896.,HSBC BANK USA NATIONAL ASSOCIATION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7897.,ING FINANCIAL HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7898.,ING FINANCIAL MARKETS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7899.,ING CAPITAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7900.,ICON NICHOLSON LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7901.,KLS PROFESSIONAL ADVISORS GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7902.,MEDALLION TAXI MEDIA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7903.,BANCO POPULAR NORTH AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7904.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7905.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7906.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7907.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7908.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7909.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7910.,BANK OF AMERICA CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7911.,BANK OF AMERICA CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7912.,BANK OF AMERICA NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7913.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7914.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7915.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7916.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7917.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7918.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7919.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7920.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7921.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7922.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7923.,BANK OF AMERICA NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7924.,BEDFORD CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7925.,VALLEY NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7926.,VALLEY NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7927.,VALLEY NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7928.,VALLEY NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7929.,VIRGIN ATLANTIC CARGO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7930.,VISA USA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7931.,OREMCO INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7932.,SHOREWOOD PACKAGING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7933.,UBS FINANCIAL SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7934.,UBS GLOBAL ASSET,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7935.,SB ORE CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7936.,UBS CAPITAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7937.,UBS SECURITIES LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7938.,WINTER & COMPANY EQUITY FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7939.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7940.,RITE CHECK CASHING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7941.,BROAD STREET CHECK CASHING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7942.,BROADSWORD PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
7943.,BROADVIEW NETWORKS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7944.,BROADWAY CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7945.,BROADWAY NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7946.,BROADWAY NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7947.,CITICORP USA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7948.,CITICORP NORTH AMERICA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7949.,CITICORP INTERNATIONAL TRADING CO INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7950.,CITICORP VENTURE CAPITAL LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7951.,FIRST AMERICAN FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7952.,TEACHERS FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7953.,BANC AMERICA PRIME BROKERAGE S,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
7954.,BANK OF AMERICA CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
